id1,id2,shared_cm_total,n_segments,max_segment_cm,mean_segment_cm,P_IBD_ge1_approx
HG00265,HG00338,1.28787,1,1.28787,1.28787,0.00596612111998055
HG00265,HG00349,1.15136,1,1.15136,1.15136,0.0053337318306201755
HG00265,HG01781,1.05516,1,1.05516,1.05516,0.004888080598941413
HG00266,HG00171,1.05516,1,1.05516,1.05516,0.004888080598941413
HG00266,HG00371,1.01638,1,1.01638,1.01638,0.0047084303415141525
HG00266,HG00372,1.31014,1,1.31014,1.31014,0.006069287990349429
HG00266,HG00373,1.06801,1,1.06801,1.06801,0.004947608855979584
HG00266,HG02221,1.04518,1,1.04518,1.04518,0.00484184775806663
HG00266,HG03611,1.7386,1,1.7386,1.7386,0.00805415001451869
HG00266,HG03773,1.04187,1,1.04187,1.04187,0.0048265140202614675
HG00266,NA20512,1.52689,1,1.52689,1.52689,0.0070733930263824005
HG00267,HG01060,1.02079,1,1.02079,1.02079,0.004728859883423751
HG00267,HG02239,1.10881,1,1.10881,1.10881,0.005136616862762262
HG00267,NA11995,1.30819,1,1.30819,1.30819,0.0060602545194370205
HG00267,NA19669,1.04273,1,1.04273,1.04273,0.004830498012561297
HG00272,NA11918,1.14035,1,1.14035,1.14035,0.005282727464083968
HG00274,HG00358,1.29685,1,1.29685,1.29685,0.006007721411669483
HG00274,HG00383,1.29198,1,1.29198,1.29198,0.005985160897134393
HG00274,HG01197,1.13235,1,1.13235,1.13235,0.005245667070597169
HG00274,HG01632,1.19288,1,1.19288,1.19288,0.005526075272816665
HG00274,HG01679,1.31568,1,1.31568,1.31568,0.006094952312839037
HG00275,HG00261,1.2745,1,1.2745,1.2745,0.005904183937365737
HG00275,HG00267,1.07219,1,1.07219,1.07219,0.004966972911576437
HG00275,HG02687,1.21553,1,1.21553,1.21553,0.005631002511876166
HG00278,HG01182,1.00044,1,1.00044,1.00044,0.004634587507491705
HG00281,HG00171,1.00525,1,1.00525,1.00525,0.004656870069075642
HG00281,HG01816,1.14205,1,1.14205,1.14205,0.005290602797699913
HG00281,HG03792,1.00989,1,1.00989,1.00989,0.004678365097297986
HG00281,NA11918,1.01524,1,1.01524,1.01524,0.004703149235442283
HG00281,NA12286,1.2467,1,1.2467,1.2467,0.005775399069999108
HG00281,NA12748,1.06547,1,1.06547,1.06547,0.004935842181047525
HG00281,NA18544,1.07367,1,1.07367,1.07367,0.004973829084371494
HG00281,NA19058,1.15232,1,1.15232,1.15232,0.005338179077838592
HG00281,NA19761,1.09449,1,1.09449,1.09449,0.0050702787584208904
HG00281,NA21120,1.08346,1,1.08346,1.08346,0.005019181740900967
HG00282,HG00267,1.03846,1,1.03846,1.03846,0.004810717027537719
HG00282,HG00323,1.17799,1,1.17799,1.17799,0.00545709661543936
HG00282,HG00590,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00282,HG00592,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00282,HG00653,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00282,HG00654,1.09854,1,1.09854,1.09854,0.0050890405826235835
HG00282,HG01174,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00282,HG01528,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00282,HG01610,1.09854,1,1.09854,1.09854,0.0050890405826235835
HG00282,HG01618,1.27116,1,1.27116,1.27116,0.005888711223084998
HG00282,HG02075,1.18371,1,1.18371,1.18371,0.005483594796782422
HG00282,HG04096,1.01537,1,1.01537,1.01537,0.0047037514668364444
HG00282,NA18603,1.06134,1,1.06134,1.06134,0.004916709752909965
HG00282,NA18949,1.09854,1,1.09854,1.09854,0.0050890405826235835
HG00282,NA18998,1.08766,1,1.08766,1.08766,0.005038638447481536
HG00282,NA19058,1.01155,1,1.01155,1.01155,0.004686055128946497
HG00282,NA20866,1.14167,1,1.14167,1.14167,0.00528884242900929
HG00310,HG00131,1.00401,1,1.00401,1.00401,0.004651125708085189
HG00310,HG01506,1.00401,1,1.00401,1.00401,0.004651125708085189
HG00310,NA21108,1.28589,1,1.28589,1.28589,0.005956948672592567
HG00311,HG00239,1.08333,1,1.08333,1.08333,0.005018579509506805
HG00311,HG00372,1.42755,1,1.42755,1.42755,0.006613195590260069
HG00311,HG01098,1.02981,1,1.02981,1.02981,0.004770645477080116
HG00311,HG01398,1.11587,1,1.11587,1.11587,0.005169322660014361
HG00311,HG02070,1.01067,1,1.01067,1.01067,0.004681978485662949
HG00311,HG03977,1.15136,1,1.15136,1.15136,0.0053337318306201755
HG00311,NA19089,1.51931,1,1.51931,1.51931,0.007038278303553658
HG00311,NA19669,1.02981,1,1.02981,1.02981,0.004770645477080116
HG00311,NA19761,1.02981,1,1.02981,1.02981,0.004770645477080116
HG00311,NA20797,1.07219,1,1.07219,1.07219,0.004966972911576437
HG00315,HG00278,1.16051,1,1.16051,1.16051,0.005376119655670703
HG00315,HG01465,1.01955,1,1.01955,1.01955,0.004723115522433296
HG00315,HG02649,1.019,1,1.019,1.019,0.004720567620381079
HG00315,HG02783,1.08782,1,1.08782,1.08782,0.005039379655351272
HG00315,NA20807,1.01315,1,1.01315,1.01315,0.004693467207643857
HG00315,NA21108,1.0621,1,1.0621,1.0621,0.0049202304902912115
HG00321,HG01624,1.07219,1,1.07219,1.07219,0.004966972911576437
HG00323,HG00272,1.17761,1,1.17761,1.17761,0.005455336246748737
HG00323,HG02697,1.00109,1,1.00109,1.00109,0.004637598664462507
HG00323,NA11918,1.11818,1,1.11818,1.11818,0.005180023848633675
HG00324,HG00125,1.18304,1,1.18304,1.18304,0.0054804909888279026
HG00324,HG00278,2.16606,1,2.16606,2.16606,0.0100343794895021
HG00324,HG02215,1.07422,1,1.07422,1.07422,0.004976376986423712
HG00324,NA12144,1.13235,1,1.13235,1.13235,0.005245667070597169
HG00328,HG00339,1.06282,1,1.06282,1.06282,0.0049235659257050235
HG00328,HG00345,1.17114,1,1.17114,1.17114,0.005425363653516288
HG00328,HG01121,1.27018,1,1.27018,1.27018,0.005884171324882865
HG00328,HG02774,1.04939,1,1.04939,1.04939,0.004861350790139059
HG00328,NA12546,1.08278,1,1.08278,1.08278,0.005016031607454588
HG00328,NA19741,1.00145,1,1.00145,1.00145,0.004639266382169413
HG00330,HG00186,1.33759,1,1.33759,1.33759,0.006196451465501009
HG00330,HG00345,1.26286,1,1.26286,1.26286,0.005850261064842444
HG00330,HG01098,1.11587,1,1.11587,1.11587,0.005169322660014361
HG00330,HG01168,1.05516,1,1.05516,1.05516,0.004888080598941413
HG00330,HG01528,1.07219,1,1.07219,1.07219,0.004966972911576437
HG00330,HG03672,1.35414,1,1.35414,1.35414,0.006273120154526825
HG00330,HG03947,1.35036,1,1.35036,1.35036,0.006255609118604313
HG00330,NA12144,1.15136,1,1.15136,1.15136,0.0053337318306201755
HG00331,HG01168,1.00511,1,1.00511,1.00511,0.0046562215121896235
HG00334,HG00321,1.23886,1,1.23886,1.23886,0.005739079884382045
HG00334,HG01133,1.019,1,1.019,1.019,0.004720567620381079
HG00334,HG01624,1.03063,1,1.03063,1.03063,0.004774444167412514
HG00334,HG03235,1.02902,1,1.02902,1.02902,0.004766985763223296
HG00334,HG04090,1.14167,1,1.14167,1.14167,0.00528884242900929
HG00338,HG00879,1.03262,1,1.03262,1.03262,0.004783662940292355
HG00338,HG01679,1.02231,1,1.02231,1.02231,0.004735901358186243
HG00338,HG02224,1.08182,1,1.08182,1.08182,0.005011584360236172
HG00338,HG02265,1.01841,1,1.01841,1.01841,0.004717834416361428
HG00338,HG02367,1.07257,1,1.07257,1.07257,0.00496873328026706
HG00338,HG02774,1.03774,1,1.03774,1.03774,0.0048073815921239075
HG00338,HG03663,1.01841,1,1.01841,1.01841,0.004717834416361428
HG00338,NA19059,1.04936,1,1.04936,1.04936,0.004861211813663484
HG00338,NA21142,1.32365,1,1.32365,1.32365,0.0061318737298502604
HG00339,HG00366,1.09614,1,1.09614,1.09614,0.005077922464577543
