ID1	ID2	n_segments	total_shared_cm	max_segment_cm
NA19438	NA20357	1	0.502	0.502
NA21100	NA21117	2	1.047	0.544
HG01357	HG01497	1	0.569	0.569
NA20891	NA20900	8	5.257	0.848
HG03394	NA18864	1	0.537	0.537
NA19131	NA19153	1	0.546	0.546
HG03366	NA19456	1	0.506	0.506
HG02220	NA20581	1	3.287	3.287
HG03159	NA19446	1	0.51	0.51
HG00112	NA19669	1	0.516	0.516
HG00243	HG01709	1	3.302	3.302
NA18505	NA19385	1	0.503	0.503
HG00376	NA12843	1	0.58	0.58
HG01550	NA20866	1	3.293	3.293
HG01061	HG01098	1	0.565	0.565
HG01550	NA20869	1	3.322	3.322
HG00376	NA20866	1	0.514	0.514
NA19773	NA20774	1	0.565	0.565
HG03077	HG03103	1	0.562	0.562
HG00112	HG00372	1	0.5	0.5
HG01073	HG01204	1	0.509	0.509
HG02220	HG02235	1	0.69	0.69
HG02661	HG04106	1	0.513	0.513
HG00264	HG01048	1	0.555	0.555
HG01965	HG02262	1	0.574	0.574
NA11893	NA12814	1	0.517	0.517
HG01537	HG02223	1	0.559	0.559
HG01167	NA19312	1	0.522	0.522
HG02283	NA12778	1	0.534	0.534
HG01170	NA20524	1	0.511	0.511
HG03511	NA19429	1	0.506	0.506
NA19310	NA20298	1	0.502	0.502
NA19113	NA19914	1	0.605	0.605
HG00180	HG00384	1	0.518	0.518
HG01260	HG03111	1	0.589	0.589
HG04106	NA20866	1	3.321	3.321
HG01171	HG01177	1	0.506	0.506
HG04106	NA20869	1	3.301	3.301
HG01066	HG01198	1	0.57	0.57
HG01170	HG01204	2	1.127	0.616
HG00342	HG00362	1	0.516	0.516
NA21101	NA21128	1	0.543	0.543
HG00357	HG00375	2	1.097	0.573
HG00358	HG00364	1	0.56	0.56
NA19042	NA19113	1	0.506	0.506
NA19310	NA19463	1	0.521	0.521
HG01765	HG01766	1	0.537	0.537
HG01809	HG02155	1	0.518	0.518
HG00407	HG00699	1	0.52	0.52
HG01060	HG01171	1	0.54	0.54
HG02182	HG02364	1	0.823	0.823
HG01060	HG01177	1	0.539	0.539
HG03303	NA19909	1	0.719	0.719
HG00310	NA12717	1	0.524	0.524
HG01061	HG01167	1	0.616	0.616
HG03352	HG03366	3	1.68	0.653
HG01187	HG01188	1	0.531	0.531
HG03267	HG03279	1	0.568	0.568
NA21113	NA21117	3	1.647	0.588
NA12489	NA20524	1	0.523	0.523
HG01885	NA19175	1	0.514	0.514
HG00358	HG00376	3	1.568	0.54
HG02974	HG03428	1	3.349	3.349
HG02700	NA19773	1	0.615	0.615
HG00328	HG01456	1	0.526	0.526
HG01976	NA19795	1	0.527	0.527
HG03103	NA18858	1	0.542	0.542
HG01947	HG02008	1	0.545	0.545
HG03857	NA20362	1	3.326	3.326
HG03079	HG03091	1	0.568	0.568
HG01060	HG01187	1	0.578	0.578
HG01052	HG01272	1	0.516	0.516
HG01073	HG01187	2	1.216	0.708
HG03940	HG04194	1	0.527	0.527
HG01550	HG02493	1	3.286	3.286
HG01271	HG01345	1	0.54	0.54
HG00982	HG02351	1	0.613	0.613
HG02144	NA19175	1	0.516	0.516
HG02895	HG03246	1	0.533	0.533
HG02684	HG02778	1	0.825	0.825
HG02756	HG03433	1	0.507	0.507
HG02314	NA19037	1	0.579	0.579
NA19028	NA19350	1	0.587	0.587
NA19320	NA19455	1	0.511	0.511
HG02878	NA19113	1	0.512	0.512
HG02259	NA19788	1	0.521	0.521
